id,friends,popular,actalcoh,alcoh
01a3,1,1,1,1
01a3,1,1,1,1
01a3,1,3,1,1
01a3,1,1,1,1
01a6,2,1,1,1
01a6,3.5,3,2,2
01a12,1,1,1,1
01a12,1,1,1,1
01a12,1.6,3,1,1
01a12,1,1,1,1
01a13,1,1,1,1
01a13,1.25,1,1,1
01a13,1,3,4,4
01a13,1,1,1,1
01a17,1,1,1,1
01a17,1,1,1,1
01a17,1,3,1,1
01a17,1,1,1,1
01b1,2.71428571428571,3,3,3
01b1,2.33333333333333,2.33333333333333,1,1
01b1,2.33333333333333,1,1,1
01b1,2.66666666666667,1.33333333333333,1,1
01b2,2.33333333333333,3,4,4
01b2,3,2.33333333333333,1,1
01b2,2.6,1,1,1
01b2,1.33333333333333,1.33333333333333,2,2
01b4,1,3,1,1
01b4,1,2.33333333333333,1,1
01b4,1.33333333333333,1,1,1
01b4,1.2,1.33333333333333,1,1
01b5,3,3,5,5
01b5,3,2.33333333333333,5,5
01b5,1.8,1,5,5
01b5,2,1.33333333333333,5,5
01b7,3,3,5,5
01b7,2,2.33333333333333,5,5
01b7,2.5,1,3,3
01b7,2,1.33333333333333,5,5
01b9,1.33333333333333,3,1,1
01b9,1,2.33333333333333,1,1
01b9,1,1,1,1
01b9,2,1.33333333333333,2,2
01b13,1,2.33333333333333,1,1
01b13,1.66666666666667,1,3,3
01b13,3,1.33333333333333,2,2
01b14,1.2,3,1,1
01b14,1,2.33333333333333,1,1
01b14,2,1,1,1
01b14,1.25,1.33333333333333,1,1
01b15,1,3,1,1
01b15,1,2.33333333333333,2,2
01b15,1,1,2,2
01b15,1,1.33333333333333,2,2
01b16,2.5,3,1,1
01b16,2,2.33333333333333,1,1
01b16,3,1,1,1
01b16,2.66666666666667,1.33333333333333,1,1
01b17,1,3,2,2
01b17,1,2.33333333333333,1,1
01b17,1,1,1,1
01b18,3,3,1,1
01b18,1,2.33333333333333,1,1
01b18,1,1,1,1
01b18,1,1.33333333333333,1,1
01c2,2.22222222222222,2,2,2
01c2,1.66666666666667,1.66666666666667,1,1
01c2,1.58333333333333,1.66666666666667,2,2
01c2,1.58333333333333,2.33333333333333,3,3
01c5,3.33333333333333,2,4,4
01c5,1.66666666666667,1.66666666666667,1,1
01c5,2.14285714285714,1.66666666666667,1,1
01c5,2.14285714285714,2.33333333333333,1,1
01c6,1,2,1,1
01c6,1,1.66666666666667,1,1
01c7,1.91666666666667,2,2,2
01c7,1.6,1.66666666666667,2,2
01c7,1.66666666666667,1.66666666666667,3,3
01c7,2.5,2.33333333333333,3,3
01c8,1,2,3,3
01c9,1,2,1,1
01c9,1,1.66666666666667,1,1
01c10,1,2,1,1
01c10,1,1.66666666666667,1,1
01c11,2.4,2,3,3
01c11,1.8,1.66666666666667,1,1
01c11,2,1.66666666666667,3,3
01c11,1.66666666666667,2.33333333333333,3,3
01c12,1,2,1,1
01c12,1,1.66666666666667,1,1
01c13,1,2,1,1
01c13,1,1.66666666666667,1,1
01c15,1,2,1,1
01c15,1,1.66666666666667,1,1
01c16,3,2,2,2
01c16,1.8,1.66666666666667,1,1
01c16,2,1.66666666666667,1,1
01c16,2.14285714285714,2.33333333333333,1,1
01c17,2.625,2,1,1
01c17,2,1.66666666666667,3,3
01c17,2,1.66666666666667,3,3
01c17,1.85714285714286,2.33333333333333,3,3
01c18,2,2,2,2
01c18,1.5,1.66666666666667,2,2
01c18,1.875,1.66666666666667,2,2
01c18,2.14285714285714,2.33333333333333,1,1
01d2,2,2,2,2
01d2,1,1.33333333333333,2,2
01d2,1,1.75,5,5
01d3,2.2,2,1,1
01d3,1.75,1.33333333333333,1,1
01d3,1.66666666666667,1.75,1,1
01d4,1.41666666666667,2,1,1
01d4,1.55555555555556,1.33333333333333,2,2
