"","id","wave","friends","popular","actfare","friends_z","popular_z"
"1","01a12",1,0,0,0,-0.691689373881164,-0.734821512733166
"2","01a12",3,0,0.333333333333333,0,-0.691689373881164,-0.401488179399833
"3","01a12",4,0,0,NA,-0.691689373881164,-0.734821512733166
"4","01a13",1,0,0,0,-0.691689373881164,-0.734821512733166
"5","01a13",3,0,0.333333333333333,0,-0.691689373881164,-0.401488179399833
"6","01a17",1,0,0,0,-0.691689373881164,-0.734821512733166
"7","01a17",3,0,0.333333333333333,0,-0.691689373881164,-0.401488179399833
"8","01a17",4,0,0,0,-0.691689373881164,-0.734821512733166
"9","01a3",1,0,0,0,-0.691689373881164,-0.734821512733166
"10","01a3",3,0,0.333333333333333,0,-0.691689373881164,-0.401488179399833
"11","01a3",4,0,0,0,-0.691689373881164,-0.734821512733166
"12","01a6",3,0.5,0.333333333333333,0,-0.191689373881164,-0.401488179399833
"13","01b1",1,0.142857142857143,0,0,-0.548832231024021,-0.734821512733166
"14","01b1",2,0,0,0,-0.691689373881164,-0.734821512733166
"15","01b1",3,0.333333333333333,0.333333333333333,0,-0.358356040547831,-0.401488179399833
"16","01b1",4,0.333333333333333,0.333333333333333,0,-0.358356040547831,-0.401488179399833
"17","01b13",2,0,0,0,-0.691689373881164,-0.734821512733166
"18","01b13",3,0.333333333333333,0.333333333333333,0,-0.358356040547831,-0.401488179399833
"19","01b13",4,0,0.333333333333333,0,-0.691689373881164,-0.401488179399833
"20","01b14",1,0.4,0,0,-0.291689373881164,-0.734821512733166
"21","01b14",2,0.5,0,0,-0.191689373881164,-0.734821512733166
"22","01b14",3,0.5,0.333333333333333,1,-0.191689373881164,-0.401488179399833
"23","01b15",1,0,0,0,-0.691689373881164,-0.734821512733166
"24","01b15",2,0.5,0,0,-0.191689373881164,-0.734821512733166
"25","01b15",3,0,0.333333333333333,0,-0.691689373881164,-0.401488179399833
"26","01b15",4,0,0.333333333333333,0,-0.691689373881164,-0.401488179399833
"27","01b16",1,0.5,0,0,-0.191689373881164,-0.734821512733166
"28","01b16",2,0,0,0,-0.691689373881164,-0.734821512733166
"29","01b16",3,1,0.333333333333333,0,0.308310626118836,-0.401488179399833
"30","01b16",4,0.333333333333333,0.333333333333333,0,-0.358356040547831,-0.401488179399833
"31","01b17",1,0,0,1,-0.691689373881164,-0.734821512733166
"32","01b17",2,0.333333333333333,0,1,-0.358356040547831,-0.734821512733166
"33","01b17",3,0.5,0.333333333333333,1,-0.191689373881164,-0.401488179399833
"34","01b18",1,0,0,0,-0.691689373881164,-0.734821512733166
"35","01b18",2,0,0,0,-0.691689373881164,-0.734821512733166
"36","01b18",3,0,0.333333333333333,0,-0.691689373881164,-0.401488179399833
"37","01b18",4,0,0.333333333333333,1,-0.691689373881164,-0.401488179399833
"38","01b2",1,0,0,1,-0.691689373881164,-0.734821512733166
"39","01b2",2,0,0,0,-0.691689373881164,-0.734821512733166
"40","01b2",3,0.2,0.333333333333333,1,-0.491689373881164,-0.401488179399833
"41","01b2",4,0,0.333333333333333,1,-0.691689373881164,-0.401488179399833
"42","01b4",1,0,0,0,-0.691689373881164,-0.734821512733166
"43","01b4",2,0.333333333333333,0,0,-0.358356040547831,-0.734821512733166
"44","01b4",3,0.666666666666667,0.333333333333333,0,-0.025022707214497,-0.401488179399833
"45","01b5",1,0,0,0,-0.691689373881164,-0.734821512733166
"46","01b5",2,0,0,0,-0.691689373881164,-0.734821512733166
"47","01b5",3,0.2,0.333333333333333,1,-0.491689373881164,-0.401488179399833
"48","01b5",4,0.333333333333333,0.333333333333333,0,-0.358356040547831,-0.401488179399833
"49","01b7",1,0,0,0,-0.691689373881164,-0.734821512733166
"50","01b7",2,0,0,0,-0.691689373881164,-0.734821512733166
"51","01b7",3,0.25,0.333333333333333,0,-0.441689373881164,-0.401488179399833
"52","01b7",4,0.2,0.333333333333333,0,-0.491689373881164,-0.401488179399833
"53","01b9",1,0,0,1,-0.691689373881164,-0.734821512733166
"54","01b9",2,0.25,0,1,-0.441689373881164,-0.734821512733166
"55","01b9",3,0.5,0.333333333333333,1,-0.191689373881164,-0.401488179399833
"56","01c10",1,0.2,0.333333333333333,0,-0.491689373881164,-0.401488179399833
"57","01c10",2,0,0.666666666666667,1,-0.691689373881164,-0.0681548460664988
"58","01c10",3,0,0.666666666666667,0,-0.691689373881164,-0.0681548460664988
"59","01c11",1,0,0.333333333333333,0,-0.691689373881164,-0.401488179399833
"60","01c11",2,0.8,0.666666666666667,0,0.108310626118836,-0.0681548460664988
"61","01c11",3,0.333333333333333,0.666666666666667,0,-0.358356040547831,-0.0681548460664988
"62","01c11",4,0.333333333333333,0.333333333333333,0,-0.358356040547831,-0.401488179399833
"63","01c12",1,0.2,0.333333333333333,0,-0.491689373881164,-0.401488179399833
"64","01c12",2,0.2,0.666666666666667,0,-0.491689373881164,-0.0681548460664988
"65","01c12",3,0,0.666666666666667,0,-0.691689373881164,-0.0681548460664988
"66","01c13",1,0.2,0.333333333333333,0,-0.491689373881164,-0.401488179399833
"67","01c13",2,0.25,0.666666666666667,0,-0.441689373881164,-0.0681548460664988
"68","01c13",3,0,0.666666666666667,0,-0.691689373881164,-0.0681548460664988
"69","01c15",1,0,0.333333333333333,1,-0.691689373881164,-0.401488179399833
"70","01c15",2,0.166666666666667,0.666666666666667,0,-0.525022707214497,-0.0681548460664988
"71","01c15",3,0.111111111111111,0.666666666666667,0,-0.580578262770053,-0.0681548460664988
"72","01c15",4,0,0.333333333333333,NA,-0.691689373881164,-0.401488179399833
"73","01c16",1,0.25,0.333333333333333,0,-0.441689373881164,-0.401488179399833
"74","01c16",2,0.6,0.666666666666667,0,-0.0916893738811639,-0.0681548460664988
"75","01c16",3,0.6,0.666666666666667,0,-0.0916893738811639,-0.0681548460664988
"76","01c16",4,0.428571428571429,0.333333333333333,0,-0.263117945309735,-0.401488179399833
"77","01c17",1,0.125,0.333333333333333,1,-0.566689373881164,-0.401488179399833
"78","01c17",2,1,0.666666666666667,1,0.308310626118836,-0.0681548460664988
"79","01c17",3,0.4,0.666666666666667,1,-0.291689373881164,-0.0681548460664988
