id,wave,friends,popular,actsport,friends_z,popular_z
1,1,2.5,4.66666666666667,3,-3.75761118782062,-2.7458359552214606
1,2,3,3.5,1,-3.25761118782062,-3.9125026218881302
1,3,2.2,4.33333333333333,3,-4.05761118782062,-3.0791692885548
1,4,2.33333333333333,2.66666666666667,5,-3.9242778544872903,-4.745835955221461
2,1,2.5,4.66666666666667,3,-3.75761118782062,-2.7458359552214606
2,2,3.25,3.66666666666667,1,-3.00761118782062,-3.74583595522146
2,3,3,4.33333333333333,1,-3.25761118782062,-3.0791692885548
2,4,5,2.66666666666667,1,-1.2576111878206202,-4.745835955221461
3,1,4,4.66666666666667,2,-2.25761118782062,-2.7458359552214606
3,2,3.33333333333333,3.5,3,-2.9242778544872903,-3.9125026218881302
3,3,2,4.33333333333333,3,-4.25761118782062,-3.0791692885548
3,4,2,2.66666666666667,4,-4.25761118782062,-4.745835955221461
4,1,3,4.66666666666667,1,-3.25761118782062,-2.7458359552214606
4,2,3.33333333333333,3.5,3,-2.9242778544872903,-3.9125026218881302
4,3,2.5,4.33333333333333,2,-3.75761118782062,-3.0791692885548
4,4,3,2.66666666666667,2,-3.25761118782062,-4.745835955221461
5,1,4.75,4.66666666666667,4,-1.5076111878206202,-2.7458359552214606
5,2,5,3.5,4,-1.2576111878206202,-3.9125026218881302
5,3,4.5,4.33333333333333,4,-1.7576111878206202,-3.0791692885548
6,1,3.28571428571429,2.66666666666667,2,-2.97189690210633,-4.745835955221461
6,2,3.5,2.66666666666667,2,-2.75761118782062,-4.745835955221461
6,3,3.83333333333333,4.66666666666667,2,-2.4242778544872903,-2.7458359552214606
6,4,3.33333333333333,4.66666666666667,3,-2.9242778544872903,-2.7458359552214606
7,2,2,2.66666666666667,4,-4.25761118782062,-4.745835955221461
7,3,3.33333333333333,4.66666666666667,4,-2.9242778544872903,-2.7458359552214606
7,4,3,4.66666666666667,4,-3.25761118782062,-2.7458359552214606
8,1,4.4,2.66666666666667,5,-1.8576111878206198,-4.745835955221461
8,3,4,4.66666666666667,5,-2.25761118782062,-2.7458359552214606
8,4,3.75,4.66666666666667,5,-2.50761118782062,-2.7458359552214606
9,1,3,2.66666666666667,4,-3.25761118782062,-4.745835955221461
9,2,5,2.66666666666667,4,-1.2576111878206202,-4.745835955221461
9,4,3,4.66666666666667,4,-3.25761118782062,-2.7458359552214606
10,1,3.5,2.66666666666667,4,-2.75761118782062,-4.745835955221461
10,2,2.75,2.66666666666667,5,-3.50761118782062,-4.745835955221461
10,3,3.5,4.66666666666667,5,-2.75761118782062,-2.7458359552214606
10,4,3.83333333333333,4.66666666666667,4,-2.4242778544872903,-2.7458359552214606
11,1,4.66666666666667,2.66666666666667,4,-1.5909445211539506,-4.745835955221461
11,2,4.66666666666667,2.66666666666667,5,-1.5909445211539506,-4.745835955221461
11,3,4.5,4.66666666666667,5,-1.7576111878206202,-2.7458359552214606
12,1,3,2.66666666666667,4,-3.25761118782062,-4.745835955221461
